regime,intensity,budget_sec,event_count,mean_rho_t,mean_reward_delta,feasible_rate,mean_solver_runtime,mean_total_online_latency
R0,L0,0.5,560,0.7550653878408458,0.11731947952509927,0.7214285714285714,0.029197908571014914,0.956353853390153
R0,L1,0.5,560,0.7550653878408458,0.2427538317952594,0.7035714285714286,0.06163378035271307,0.9858710362496952
R0,L2,0.5,560,0.7550653878408458,0.23656977968125747,0.6839285714285714,0.07234962106823721,0.9979112799998672
R0,L3,0.5,560,0.7550653878408458,0.14782079320740504,0.38035714285714284,0.18247139821406952,1.125093196964008
R0,L0,1.0,560,0.7550653878408458,0.11731947952509927,0.7214285714285714,0.028884366785808066,0.9484064139273999
R0,L1,1.0,560,0.7550653878408458,0.26060650158590226,0.7125,0.06888563018188247,0.9868361276801026
R0,L2,1.0,560,0.7550653878408458,0.24315594961356543,0.7,0.08465157945985473,1.0040021085752024
R0,L3,1.0,560,0.7550653878408458,0.14734801602204145,0.3875,0.3526048262512112,1.2928781007167085
R1,L0,0.5,280,2.642652211642848,-2.8442735899848914,0.9285714285714286,0.23838424071312017,0.26037557714610426
R1,L1,0.5,280,2.6426929422827214,0.03095057592277044,0.34285714285714286,0.39967975071714523,0.521036044637523
R1,L2,0.5,280,2.6435879358007894,0.057881735738060665,0.3392857142857143,0.4032940732148875,1.4061458853572342
R1,L3,0.5,280,2.6426929422827214,0.02213616953501644,0.19642857142857142,0.4214885985732378,0.6583169728567425
R1,L0,1.0,280,2.6437828140426265,-1.8053124577586621,1.0,0.2504894989247467,0.2660753964263547
R1,L1,1.0,280,2.6439432128131526,0.6663554884060611,0.5714285714285714,0.6595163300034723,0.7616944903532775
R1,L2,1.0,280,2.643192270128968,-0.7256639947371338,0.4928571428571429,0.699827494287248,1.6906006099963893
R1,L3,1.0,280,2.6426929422827214,0.02213616953501644,0.2,0.8221548860713873,1.060596622500868
R2,L0,0.5,280,3.1641219708191595,-0.004292368668677682,0.8357142857142857,0.29879250071493774,0.33594430178096185
R2,L1,0.5,280,3.1645968640128737,0.7171651268549665,0.21428571428571427,0.4522583578542773,0.6004990232093925
R2,L2,0.5,280,3.164569199633958,0.5525642991757455,0.19285714285714287,0.4583223949988938,2.023879137502601
R2,L3,0.5,280,3.164569199633958,0.20516087935393443,0.07857142857142857,0.47815693571381934,0.7933446296403417
R2,L0,1.0,280,3.1644178974214596,0.4985123279895577,0.9892857142857143,0.32506300178647507,0.347126874641981
R2,L1,1.0,280,3.164406111642484,0.9220695426775949,0.3357142857142857,0.8125554503561164,0.954991742153652
R2,L2,1.0,280,3.1650654590444725,0.8494841751352527,0.32142857142857145,0.8215048407108823,2.3934547749979953
R2,L3,1.0,280,3.164569199633958,0.20516087935393443,0.08928571428571429,0.9232390339286732,1.140660587500731
R3,L0,0.5,210,3.1489134633306994,3.0013813207966105,1.0,0.0826191461988769,0.08779984857066579
R3,L1,0.5,210,3.148287355423597,2.2046149145286886,0.5190476190476191,0.3721780500014401,0.40497019905042614
R3,L2,0.5,210,3.1490512689179986,5.497657503526369,0.41904761904761906,0.3918034942865017,0.7778236609528817
R3,L3,0.5,210,3.1507291444228405,-0.003659994323000622,0.03333333333333333,0.4851746104751891,0.5525340161862827
R3,L0,1.0,210,3.1497239704763116,3.0013813207966105,1.0,0.08232380000741354,0.08741939381053228
R3,L1,1.0,210,3.147860645832292,5.934844000967375,0.6095238095238096,0.5792225876213273,0.6095417795237154
R3,L2,1.0,210,3.147860645832292,5.734834762328163,0.580952380952381,0.6340823204766605,1.0110246252323989
R3,L3,1.0,210,3.1507291444228405,-0.0021957705466775224,0.02857142857142857,0.9797554280958138,1.1209708471422173
R4,L0,0.5,210,2.7913212870429467,-4.366974738975034,0.8428571428571429,0.3544343847554133,0.3998171071438784
R4,L1,0.5,210,2.7914020247142783,0.0,0.0,0.4999623176192732,0.7726979261940523
R4,L2,0.5,210,2.791452052601735,-0.0011201372349335414,0.02857142857142857,0.4941267790466857,2.701366651431835
R4,L3,0.5,210,2.7914020247142783,0.0,0.0,0.4987533214285837,0.5803726881010723
R4,L0,1.0,210,2.7913212870429467,-4.364071907550973,1.0,0.08866910428041593,0.09477977809063824
R4,L1,1.0,210,2.791165032080815,-0.0683148444584471,0.23809523809523808,0.8847436042873943,0.945700564283678
R4,L2,1.0,210,2.7910895142697174,0.7044141518273266,0.1761904761904762,0.9263440299989834,1.6149208461887956
R4,L3,1.0,210,2.7914020247142783,0.0,0.0,1.0,1.106997936660801
R5,L0,0.5,140,2.4704286599754113,11.305113117161545,1.0,0.08890677214201008,0.0958771592854256
R5,L1,0.5,140,2.470517680460389,0.0,0.0,0.49745597142859227,0.576846129288398
R5,L2,0.5,140,2.470517680460389,0.0,0.0,0.4987568078579248,1.4404707249985742
R5,L3,0.5,140,2.470517680460389,0.0,0.0,0.49733292928431183,0.5765665157132649
R5,L0,1.0,140,2.4704286599754113,11.305113117161545,1.0,0.08919602072398577,0.09616429142853511
R5,L1,1.0,140,2.470517680460389,0.003984962406060991,0.07142857142857142,0.9812934714278007,1.0611902307170178
R5,L2,1.0,140,2.470517680460389,0.0,0.05,0.9897383792858039,1.9369657828530762
R5,L3,1.0,140,2.470517680460389,0.0,0.0,0.9992996414291806,1.11082308571952
