summary_type,group,n_events,n_test_events,rho_min,rho_median,rho_max,mean_oracle_headroom_percent,mean_oracle_headroom_percent_ci95_low,mean_oracle_headroom_percent_ci95_high,frac_headroom_gt_0p1pct,frac_headroom_gt_0p1pct_ci95_low,frac_headroom_gt_0p1pct_ci95_high,frac_headroom_gt_1pct,frac_headroom_gt_1pct_ci95_low,frac_headroom_gt_1pct_ci95_high,capture_percent,capture_percent_ci95_low,capture_percent_ci95_high,feasible_rate,feasible_rate_ci95_low,feasible_rate_ci95_high
rho_bin,"(-0.001, 0.0814]",560,216,0.0,0.0,0.08062992626614482,0.012351138684649708,0.008221560388254624,0.0168799209827741,0.039285714285714285,0.024955357142857147,0.05714285714285714,0.0,0.0,0.0,47.57323374649729,21.09091283313071,68.31752703051286,0.44285714285714284,0.4017857142857143,0.48392857142857143
rho_bin,"(0.0814, 1.314]",560,222,0.08157469033811282,0.40412586241193715,1.3143128922411498,0.023388024343316643,0.016880635980506545,0.03094966325622839,0.08035714285714286,0.05892857142857143,0.10357142857142858,0.0,0.0,0.0,47.11469891462239,4.77239944941806,73.39455027367046,0.6303571428571428,0.5875,0.6678571428571428
rho_bin,"(1.314, 2.339]",560,258,1.3145748759160645,1.862653061613884,2.3382441773831824,0.013601200418319503,0.00781219193963893,0.020450960374215975,0.04107142857142857,0.026785714285714284,0.05714285714285714,0.0,0.0,0.0,2.596787903216785,-104.63533217954999,48.47899423565906,0.0,0.0,0.0
rho_bin,"(2.339, 3.169]",561,265,2.3400471356859214,2.788897576231431,3.1693548387096775,0.01485149630745936,0.006241036320807521,0.026798575964459236,0.03208556149732621,0.017825311942959002,0.0481283422459893,0.0035650623885918,0.0,0.008912655971479501,-10.06916161723736,-178.7463090009112,54.89066058610415,0.0,0.0,0.0
rho_bin,"(3.169, 3.827]",559,231,3.172425280690019,3.5390855825100904,3.8263882405251732,0.013136411328333143,0.005507805359469414,0.021672452390399083,0.026833631484794274,0.014311270125223614,0.04114490161001789,0.0035778175313059034,0.0,0.008944543828264758,-44.944009892416254,-481.16655764782143,62.6890547612652,0.0,0.0,0.0
rho_bin,"(3.827, 5.582]",560,248,3.830188679245283,4.217850473765728,5.581730769230769,0.01261086538656838,0.00237728528918955,0.025761875101304958,0.014285714285714285,0.005357142857142857,0.026785714285714284,0.0035714285714285713,0.0,0.008928571428571428,-77.65521066903773,-511.37023956920615,6.754571678029133,0.0,0.0,0.0
regime,R0,1120,480,0.0,0.10398176601898573,3.9836150579745935,0.017765927461934953,0.01355544427089941,0.022459839711447695,0.05267857142857143,0.039285714285714285,0.06517857142857143,0.0,0.0,0.0,48.737700089411305,18.45909777057606,67.61657060916802,0.38392857142857145,0.3553348214285714,0.4133928571428571
regime,R1,560,240,0.027730536215154783,3.0251869666099047,5.218527750489184,0.016199909455454926,0.008141936568691707,0.02713964792243757,0.05,0.033928571428571426,0.06785714285714285,0.0035714285714285713,0.0,0.008928571428571428,-13.455834076690909,-261.50539166983503,59.19427941731617,0.1982142857142857,0.16607142857142856,0.23214285714285715
regime,R2,560,240,0.05734828314511464,3.475566491815684,5.320957644548179,0.008397359220796456,0.0035337482418637484,0.01432371064964055,0.019642857142857142,0.008928571428571428,0.030401785714285673,0.0,0.0,0.0,39.980090572875646,2.6436238559192664,90.29925675386988,0.08392857142857142,0.060714285714285714,0.10714285714285714
regime,R3,420,180,0.2974235811481524,3.4087203784409397,5.390679709887077,0.014629089280639445,0.007885623674438909,0.02251425557965758,0.04047619047619048,0.02142857142857143,0.05952380952380952,0.0,0.0,0.0,-58.459716437244616,-213.60068671362154,16.62400586100257,0.030952380952380953,0.014285714285714285,0.04767857142857137
regime,R4,420,180,0.9863583078153592,2.67381273235229,5.0742459396751745,0.022113285611092662,0.007816136273482705,0.04291645718922189,0.02857142857142857,0.014285714285714285,0.04523809523809524,0.009523809523809525,0.002380952380952381,0.02142857142857143,-390.74277806442115,-9821.343164654494,-38.09686652285128,0.0,0.0,0.0
regime,R5,280,120,0.9580284966122321,2.194113670714864,5.581730769230769,0.004512588702949612,0.0006027969029669232,0.009768945865130463,0.014285714285714285,0.0035714285714285713,0.02857142857142857,0.0,0.0,0.0,-1601.5553486978554,-21390.426488643756,-142.20738679287214,0.0,0.0,0.0
