budget_sec,scale,disturbance,best_intensity,best_intensity_order,mean_reward_L0,mean_reward_L1,mean_reward_L2,mean_reward_L3
5.0,mk10,arrival_only,L1,1,-0.03135804294238503,-0.03005870845396801,-0.030642383006945596,-0.03123088894155328
5.0,mk10,breakdown_only,L0,0,-0.03763959568100804,-0.03776794171907841,-0.03776794171907841,-0.03766626185513884
5.0,mk10,mixed,L1,1,-0.04223703842954894,-0.041462001305725193,-0.04306154032694197,-0.04229866126025143
5.0,mk6,arrival_only,L1,1,-0.06323400965119595,-0.06208836572915856,-0.06208836572915856,-0.06259566416949719
5.0,mk6,breakdown_only,L3,3,-0.08762728354291263,-0.08762003835979229,-0.08769925054284156,-0.08672608221161694
5.0,mk6,mixed,L1,1,-0.09148587576615183,-0.09051899656912549,-0.09051899656912549,-0.09073102685756652
5.0,mk7,arrival_only,L0,0,-0.017226276133745274,-0.017253452516187047,-0.01727512193342058,-0.017226276133745274
5.0,mk7,breakdown_only,L0,0,-0.016247939269022807,-0.016247939269022807,-0.016247939269022807,-0.016247939269022807
5.0,mk7,mixed,L3,3,-0.021853347796263516,-0.023425386146017288,-0.0234250529730101,-0.021823338260163798
5.0,mk8,arrival_only,L1,1,-0.009917259365070319,-0.009909115556326616,-0.009922407524108268,-0.009917259365070319
5.0,mk8,breakdown_only,L1,1,-0.011365706885341765,-0.011362539369163578,-0.011365706885341765,-0.011365706885341765
5.0,mk8,mixed,L3,3,-0.01605457191355901,-0.01604892626127768,-0.016060014240375422,-0.01596261429094657
5.0,mk9,arrival_only,L0,0,-0.01631788015400689,-0.01631788015400689,-0.01631788015400689,-0.01631788015400689
5.0,mk9,breakdown_only,L1,1,-0.014787311425491468,-0.014684865580546023,-0.014856887086935874,-0.014864800923540514
5.0,mk9,mixed,L0,0,-0.02122278463702134,-0.02122278463702134,-0.021277296699499168,-0.02127724967156612
5.0,synthetic_100x20,arrival_only,L0,0,-0.27713925541388496,-0.2771393311238302,-0.2771393311238302,-0.27713925541388496
5.0,synthetic_100x20,breakdown_only,L0,0,-0.18972877232718524,-0.18981265424446242,-0.18981265424446242,-0.18974513982859192
5.0,synthetic_100x20,mixed,L1,1,-0.27516679013272155,-0.27516077507310954,-0.27516077507310954,-0.27516722364804436
5.0,synthetic_30x10,arrival_only,L3,3,-0.032334751676367436,-0.03227489633484158,-0.03227489633484158,-0.03227447524227427
5.0,synthetic_30x10,breakdown_only,L0,0,-0.02637055395352564,-0.02690443805372573,-0.02690443805372573,-0.026496849187415558
5.0,synthetic_30x10,mixed,L0,0,-0.038624108507339654,-0.03865112508099467,-0.038717021335643566,-0.03869095290918297
5.0,synthetic_50x15,arrival_only,L1,1,-0.04615220331738251,-0.0461395611749802,-0.0461395611749802,-0.04614322597860567
5.0,synthetic_50x15,breakdown_only,L1,1,-0.04461807924725128,-0.04454839763356654,-0.04454839763356654,-0.044630907855483716
5.0,synthetic_50x15,mixed,L1,1,-0.052488088140129126,-0.05241024713132161,-0.05241024713132161,-0.05249986022610617
